city,state,lat,lon,score,currCity,currState,currLat,currLon
Greensboro,NC,36.072635,-79.791975,12.5,Greensboro,NC,36.072635,-79.791975
Laguna Hills,CA,33.590277,-117.696282,14,Laguna Hills,CA,33.590277,-117.696282
Covington,LA,30.47547,-90.100911,17,Walker,LA,30.487968,-90.861488
Danbury,CT,41.394817,-73.454011,10,Colorado Springs,CO,38.833882,-104.821363
Aieha,HI,21.386338,-157.925536,13,San Jose,CA,37.338208,-121.886329
Dearborn Heights,MI,42.336982,-83.273263,15,Big Rapids,MI,43.698078,-85.483656
Hollywood ,FL,26.011201,-80.14949,10,Griffin,GA,33.246781,-84.26409
Philadelphia,PA,39.952584,-75.165222,13.67,Los Angeles,CA,34.052234,-118.243685
Los Angeles,CA,34.052234,-118.243685,7.83,Los Angeles,CA,34.052234,-118.243685
Portland,ME,43.661471,-70.255326,5,State College,PA,40.793395,-77.860001
Ithaca,NY,42.443961,-76.501881,11,McHenry,IL,42.333355,-88.266753
McHenry,IL,42.333355,-88.266753,0,McHenry,IL,42.333355,-88.266753
Bradford,MA,42.776201,-71.07728,2,Saugus,MA,42.465142,-71.011047
Boise,ID,43.61871,-116.214607,5,Walla Walla,WA,46.064581,-118.343021
Wynne,AR,35.224533,-90.78678,15,Memphis,TN,35.149534,-90.04898
Phoenix,AZ,33.448377,-112.074037,12,Phoenix,AZ,33.448377,-112.074037
Stockton,CA,37.957702,-121.29078,13,Dallas,TX,32.779169,-96.806062
Columbia,SC,34.00071,-81.034814,10,Columbia,SC,34.00071,-81.034814
Ephrata,PA,40.179817,-76.178839,14,Lancaster,PA,40.037875,-76.305514
Minneapolis,MN,44.977753,-93.265011,5,Minneapolis,MN,44.977753,-93.265011
Lytton,IA,42.423036,-94.859707,8,Lytton,IA,42.423036,-94.859707
Fresno,CA,36.746842,-119.772587,6,Fresno,CA,36.746842,-119.772587
Toledo,OH,41.663938,-83.555212,7,Jackson,OH,39.052017,-82.636554
Halstead,KS,38.0014,-97.508652,9,Wichita,KS,37.687176,-97.330053
Cicero,IL,41.845588,-87.753945,15,Addison,IL,41.931696,-87.988956
Phoenix,AZ,33.448377,-112.07781,12,Phoenix,AZ,33.448377,-112.07781
St. Louis,MO,38.627003,-90.199404,14,St. Louis,MO,38.627003,-90.199404
Eagan,MN,44.804132,-93.166886,14,Eagan,MN,44.804132,-93.166886
Coshocton,OH,40.272015,-81.859576,12,Zanesville,OH,39.940345,-82.013192
Canton,OH,40.798947,-81.378447,17,Canton,OH,40.798947,-81.378447
Chicago,IL,41.878264,-87.624196,13.33,El Paso,TX,31.761878,-106.485022
Bethlehem,PA,40.625932,-75.370458,11,Bethlehem,PA,40.625932,-75.370458
Norfolk ,NE,42.032723,-97.413755,17,O'Neill,NE,42.457672,-98.647888
Oak Lawn,IL,41.719978,-87.747953,14,New York,NY,40.712784,-74.005941
Atlanta,GA,33.748995,-84.387982,9.57,Atlanta,GA,33.748995,-84.387982
Phoenix,AZ,33.448377,-112.078947,12,Phoenix,AZ,33.448377,-112.078947
